ID,Name_lang
1,Word of Recall (OLD)
3,Word of Mass Recall (OLD)
4,Слово Возвращения другое
5,Касание смерти
7,Суицид
10,Снежная буря
11,Скорость
12,Hot Foot (TEST)
13,Swim Speed (TEST)
14,Похищение маны
15,Leech (TEST)
16,Fear (NYI)
17,Слово силы: Щит
18,Heal Self (TEST)
19,SWORDSPECIAL (DND)
22,Super Food (TEST)
24,Major Heal Self (TEST)
25,Оглушение
26,Bind Self (TEST)
27,Портал Златоземья
31,Телепорт в Златоземье
33,Телепорт в Западный край
34,Телепорт в Сумрачный лес
35,Телепорт в Элвиннский лес
43,Берсерк
45,Громовая поступь
47,Sprint (TEST)
49,Healing Touch (TEST)
50,Zone Recall (OLD)
53,Удар в спину
56,Оглушение
58,Magic Missile (TEST)
59,Normal bow shot (TEST)
60,Long bow shot (TEST)
61,Really Long bow shot (TEST)
65,Ускорение
66,Малая невидимость
67,Подтверждение
68,Editor Test Spell
71,Оборонительная стойка
72,Удар щитом
75,Автоматическая стрельба
77,Черепаший панцирь
78,Удар героя
81,Уклонение
84,Низкий запас здоровья
89,Увечье
91,Варварский штурм
96,Расчленение
99,Устрашающий рев
100,Рывок
101,Подножка
107,Блок
108,Evade (DND)
110,Spell Deflection (NYI)
111,Шаг времени
112,Reflect Magic (TEST)
113,Ледяные оковы
116,Ледяная стрела
118,Превращение
120,Конус холода
122,Кольцо льда
126,Око Килрогга
128,Камень чар
130,Замедленное падение
131,Подводное дыхание
132,Обнаружение обычной невидимости
133,Огненный шар
134,Огненный щит
136,Лечение питомца
139,Обновление
142,New Magic Missile (Test)
143,Огненный шар
145,Огненный шар
168,Морозный доспех
172,Порча
184,Огненный щит II
196,Одноручные топоры
197,Двуручные топоры
198,Одноручное ударное оружие
199,Двуручное ударное оружие
200,Древковое оружие
201,Одноручные мечи
202,Двуручные мечи
203,Рукопашный бой
204,Защита
205,Ледяная стрела
227,Посохи
228,Полиморф: цыпленок
246,Замедление
260,Charm (TEST)
261,Призыв скелета
262,EXOTIC1H (DND)
263,EXOTIC2H (DND)
264,Луки
265,Area Death (TEST)
266,Ружья
269,Огненная поступь - инициатор (DNC)
271,Зов Бездны
284,Удар героя
285,Удар героя
302,Варварский штурм II
324,Щит молний
325,Щит молний
331,Волна исцеления
332,Волна исцеления
339,Гнев деревьев
348,Жертвенный огонь
355,Провокация
370,Развеяние магии
379,Кровожадность
403,Молния
408,Удар по почкам
409,Тенекожа
410,Тенекожа II
411,Тенекожа III
421,Цепная молния
427,Телепорт в Монастырь
428,Телепорт в Луноречье
430,Питье
431,Питье
432,Питье
433,Пища
434,Пища
435,Пища
436,Восполнение маны
437,Восполнение маны
438,Восполнение маны
439,Лечебное зелье
440,Лечебное зелье
441,Лечебное зелье
442,Телепорт в Аббатство Североземья
443,Телепорт в Казармы
444,Телепорт на Маяк
445,Телепорт в Темнолесье
446,Телепорт на Кладбище
447,Телепорт древня
448,Editor test spell 2
450,Fast Cast (NYI)
453,Усмирение
454,Gallop (TEST)
455,Восстановление духа
