ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1,,,
3,,,
4,,,
5,,"Мгновенное уничтожение цели. Я надеюсь, вы не прониклись к себе отвращением...",
7,,,
10,Уровень 1,"Осыпает указанную зону ледяными осколками, наносящими $o1 ед. урона от магии льда в течение $d.",$s1 ед. урона от магии льда раз в $t1 сек.
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,Уровень 1,"Создает из частички души члена группы щит, способный поглотить $s1 урона. Щит держится $d. Пока заклинатель защищен щитом, применение заклинаний не может быть прервано. Повторно наложить щит можно только через $6788d.",Поглощает урон.
18,,,
19,,,
22,,,
24,,,
25,,,
26,,,
27,,,
31,,,
33,,,
34,,,
35,,,
43,Расовая,,
45,,Отбрасывание ближайших противников назад.,
47,,,
49,,,
50,,,
53,Уровень 1,"Удар в спину, наносящий цели $s2% урона оружия и дополнительно 15 единиц урона. Для удара нужно находиться за спиной цели и держать кинжал в правой руке. Длина серии приемов увеличивается на $s3.",
56,,Оглушение цели на $d.,Оглушение.
58,,,
59,,,
60,,,
61,,,
65,,Повышение скорости атаки на $s1%. Время действия – $d.,
66,,Заклинатель становится невидимым на $d. Однако заклинание нестабильно и может перестать действовать раньше времени.,Малая невидимость.
67,Уровень 1,,Сила и ловкость снижены на $s1%.
68,,,
71,,"Переход в оборонительную стойку. При этом получаемый урон уменьшается на $7376s1%, а наносимый урон - на $7376s2%. Увеличение создаваемой угрозы.",
72,Уровень 1,"Бьет цель щитом, нанося $s2 ед. урона, прерывая применение заклинания и не позволяя применять заклинания той же школы в течение $d.",
75,,"Автоматическая стрельба по цели, действующая до отмены.",Стрельба по цели.
77,,,
78,Уровень 1,"Мощная атака, увеличивающая урон в ближнем бою на $s1 ед. и сильно повышающая ваш уровень угрозы.",
81,Пассивная,Дает шанс уклониться от атаки противника в ближнем бою.,
84,,,
89,Уровень 1,"Наносит цели увечье, снижая ее скорость передвижения на $s3% и увеличивая время между ее атаками ближнего боя на $s1% и атаками дальнего боя на $s2%. Время действия – $d.",Скорость передвижения снижена на $s3%. Время между атаками в ближнем бою увеличено на $s1%. Время между атаками в дальнем бою увеличено на $s2%.
91,,,
96,,Нанесение цели в следующей ближней атаке открытой раны при увеличенном на $s1 ед. уроне.,Истекает кровью. Потеря $s2 ед. здоровья раз в $t2 сек.
99,Уровень 1,"Друид издает устрашающий рев, снижающий силу атаки в ближнем бою находящихся рядом противников на $s1. Время действия – $d.",Сила атаки уменьшена на $s1 ед.
100,Уровень 1,"Бросается к противнику, оглушая его на $7922d и получая $/10;s2 ед. ярости. Не действует во время боя.",
101,Уровень 1,"Ставит подножку противнику, нанося $s2 урона и сбивая его с ног на $d. Длина серии приемов увеличивается на $s3. Может применяться только к гуманоидам.",
107,Пассивная,Дает шанс заблокировать атаку противника в ближнем или дальнем бою.,
108,,,
110,,,
111,,,
112,,,
113,Уровень 1,"Сковывание противника ледяными цепями, не позволяющими ему двигаться с места в течение $d.",Оплетение.
116,Уровень 1,"Атака ледяной стрелой, наносящей $s2 ед. урона магии льда и снижающей скорость передвижения противника на $s1% в течение $d.",Скорость передвижения снижена на $s1%.
118,Уровень 1,"Превращает противника в овцу, которая бродит вокруг в течение $d. Овца не может атаковать и применять заклинания, но быстро восполняет здоровье и ману. Урон снимает эффект. Одновременно действует только на одну цель. Действует только на животных, гуманоидов и зверьков.",Не способен атаковать или применять заклинания. Ускорено восполнение здоровья.
120,Уровень 1,"Цели, находящиеся в конусе холода, исходящем от заклинателя, получают $s2 ед. урона от магии льда и оказываются замедлены на $s1% в течение $d.",Скорость передвижения снижена на $s1%.
